City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
459,rajgarh,28.6333,75.3833,32.96,18,1,3.08,IN,2023-11-01 09:46:42
460,eregli,37.5133,34.0467,21.62,34,94,4.48,TR,2023-11-01 09:46:41
461,chapadinha,-3.7417,-43.3603,25.58,79,36,2.8,BR,2023-11-01 09:45:57
462,linares,-35.85,-71.6,4.39,88,24,0.5,CL,2023-11-01 09:46:43
463,belton,38.812,-94.5319,-3.44,83,0,0.0,US,2023-11-01 09:46:43
464,murowana goslina,52.5746,17.0093,10.6,89,86,2.71,PL,2023-11-01 09:46:44
465,mountain home,43.133,-115.6912,-0.29,74,75,0.0,US,2023-11-01 09:46:44
466,san juan de miraflores,-12.1629,-76.9635,17.29,87,99,1.29,PE,2023-11-01 09:46:44
467,kangiwa,12.5521,3.8187,34.38,14,60,5.86,NG,2023-11-01 09:46:44
468,kapit,2.0167,112.9333,25.14,95,95,0.85,MY,2023-11-01 09:46:45
469,qaisumah,28.3112,46.1273,31.98,19,20,2.57,SA,2023-11-01 09:46:45
470,i-n-salah,27.1935,2.4607,33.95,9,2,5.11,DZ,2023-11-01 09:46:45
471,patiya,22.2931,91.9762,32.97,66,20,5.14,BD,2023-11-01 09:46:45
472,sinan,34.8262,126.1086,20.06,89,0,7.15,KR,2023-11-01 09:46:46
473,weatherford,32.7593,-97.7972,2.34,67,0,3.08,US,2023-11-01 09:46:46
474,port douglas,-16.4833,145.4667,22.59,72,35,2.12,AU,2023-11-01 09:46:26
475,yoko,5.5333,12.3167,27.27,62,86,0.67,CM,2023-11-01 09:46:46
476,devils lake,48.1128,-98.8651,-3.01,74,100,5.66,US,2023-11-01 09:46:47
477,uturoa,-16.7333,-151.4333,26.4,78,6,10.26,PF,2023-11-01 09:46:47
478,cabo san lucas,22.8909,-109.9124,25.84,81,0,1.66,MX,2023-11-01 09:43:29
479,broome,42.2506,-75.833,1.21,86,100,3.09,US,2023-11-01 09:46:47
480,rio preto da eva,-2.6994,-59.6997,25.0,59,33,1.08,BR,2023-11-01 09:46:47
481,ondo,7.1,4.8333,25.42,82,100,1.45,NG,2023-11-01 09:46:48
